title,time,artist,album,genre,plays
deep the water,3:39,Lewis Watson,midnight,Singer/Songwriter,227
when the water meets the mountains,5:25,Lewis Watson,midnight,Singer/Songwriter,224
Firelight,5:34,Young the Giant,Mind Over Matter,Alternative,221
spark,3:25,Lewis Watson,the love that you want,Pop,207
You're On My Mind,4:19,Tom Misch,Geography,Alternative,200
"Baby, I Love Your Way (Apple Music Home Session)",3:03,HRVY,Apple Music Home Session: HRVY,Pop,170
Cough Syrup,4:10,Young the Giant,Young the Giant (Special Edition),Alternative,164
Lux,3:30,Antoine Bradford,Even in the Dark - EP,Christian,153
Hiding Bottles,4:05,Bear's Den,So that you might hear me,Alternative,153
Isn't She Lovely,1:27,Tom Misch,Geography,Alternative,152
The Sound of Silence,4:08,Disturbed,Immortalized (Deluxe Edition),Hard Rock,147
Nebraska,2:55,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,146
Intro,3:32,Khalid,Free Spirit,R&B/Soul,144
Keep Your Head Up,4:25,Ben Howard,Every Kingdom,Singer/Songwriter,141
Stormy,2:16,Sally Boy,EREZ,Alternative,138
A Long Way,4:55,Josh Garrels,Home,Alternative Folk,131
Between the Stars,4:12,Canyon City,Midnight Waves,Singer/Songwriter,128
The Fear,4:20,Ben Howard,Every Kingdom (Deluxe Video Edition),Singer/Songwriter,127
Mara,6:03,Jack Garratt,"Love, Death & Dancing",Alternative,126
love me better,3:03,joan,cloudy - EP,Pop,126
waiting on nothing,4:07,joan,waiting on nothing (bye) - Single,Pop,126
Mind Over Matter (Reprise),3:51,Young the Giant,Mirrorball / Mind Over Matter (Reprise) - Single,Alternative,124
Time in a Tree,3:46,Raleigh Ritchie,Time in a Tree - Single,Pop,122
little light,4:29,Lewis Watson,midnight,Singer/Songwriter,119
If I Say,4:30,Mumford & Sons,Delta,Alternative,119
6/10,3:05,dodie,You - EP,Singer/Songwriter,117
Better Now,3:18,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,117
